CRN,Crse,Sect,Title,Course,Cr,GM,Type,Days,Time,Loc,P-Term,Dates,Instructor,Fee,Max,Enrl,AVL,XL-Max,XL-Enrl,Wait,Rsrvd,Status,Lib Ed,Perm
22273,AFBL 177,01 ,Franco-African Cinema & Literature,AFBL 177 Franco-African Cinema & Literature,3,L,CLAS ,M,13:30-16:20  ,HV 100 ,Full Term,01/11/2023-04/24/2023 ,"Chirol Hill, M  ",-,25 ,10 ,15 ,31 ,27 ,0,-,Open ,-,-
22441,AFBL 257,1 ,Black and Womanist Theology,AFBL 257 Black and Womanist Theology,3,L,CLAS ,TR,13:30-14:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, R  ",-,20 ,4 ,16 ,20 ,6 ,0,-,Open ,CUL4,-
22473,AFBL 283,1 ,African Diaspora and Liberation Movements,AFBL 283 African Diaspora and Liberation Movements,3,L,CLAS ,TR,13:30-14:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Ortega, J  ",-,25 ,23 ,2 ,-,-,-,-,Open ,CUL1,-
22491,AFBL 290,01 ,Affirmative Action Around the World,AFBL 290 Affirmative Action Around the World,3,L,CLAS ,TR,11:00-12:20  ,HV 113 ,Full Term,01/11/2023-04/24/2023 ,"Gold, G  ",-,25 ,23 ,2 ,-,-,0,-,Open ,CUL6,-
22503,AFBL 290,1 ,Indigenous & African Peoples Colonial Latin America,AFBL 290 Indigenous & African Peoples Colonial Latin America,3,L,CLAS ,TR,09:30-10:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Ortega, J  ",-,25 ,23 ,2 ,-,-,0,-,Open ,CUL1,-
22442,AFBL 300,1 ,"Intersections: Race, Class, and Gender","AFBL 300 Intersections: Race, Class, and Gender",3,L,CLAS ,MW,15:00-16:20  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,20 ,3 ,17 ,20 ,19 ,0,-,Open ,COM2,-
22272,AFBL 371,01 ,Political Economy of Developme,AFBL 371 Political Economy of Developme,3,L,CLAS ,TR,13:30-14:50  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Bezares Calderon, A  ",-,25 ,1 ,24 ,25 ,10 ,0,-,Open ,-,-
22449,ANTH 210,01 ,Cultural Anthropology,ANTH 210 Cultural Anthropology,3,L,CLAS ,TR,15:00-16:20  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Smith, G  ",-,25 ,18 ,7 ,-,-,0,-,Open ,CUL6,-
21634,ANTH 211,01 ,Topics in the Anthropology of Asia,ANTH 211 Topics in the Anthropology of Asia,3,L,CLAS ,TR,13:30-14:50  ,DH 004 ,Full Term,01/11/2023-04/24/2023 ,"Vechayiem, D  ",-,26 ,25 ,1 ,-,-,0,-,Open ,CUL2,-
22329,ANTH 250,01 ,The Art of Ethnography,ANTH 250 The Art of Ethnography,3,L,CLAS ,TR,13:30-14:50  ,PL 201 ,Full Term,01/11/2023-04/24/2023 ,"Smith, G  ",-,15 ,3 ,12 ,-,-,0,-,Open ,-,-
22058,ANTH 290,01 ,The Latinos of Asia,ANTH 290 The Latinos of Asia,3,L,CLAS ,TR,15:00-16:20  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Vechayiem, D  ",-,25 ,6 ,19 ,-,-,0,-,Open ,-,-
22330,ANTH 290,02 ,Technology and Culture,ANTH 290 Technology and Culture,3,L,CLAS ,TR,09:30-10:50  ,MB 204 ,Full Term,01/11/2023-04/23/2023 ,"Smith, G  ",-,25 ,14 ,11 ,-,-,0,-,Open ,-,-
20958,ANTH 310,01 ,Theory in Anthropology,ANTH 310 Theory in Anthropology,3,L,CLAS ,MW,12:00-13:20  ,HV 104 ,Full Term,01/11/2023-04/24/2023 ,"Kakaliouras, A  ",-,15 ,0 ,15 ,-,-,0,-,Open ,-,IN 
21637,ANTH 327,01 ,Sex & Gender in Anthropology,ANTH 327 Sex & Gender in Anthropology,3,L,CLAS ,MW,15:00-16:20  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Kakaliouras, A  ",-,20 ,15 ,5 ,20 ,18 ,0,-,Open ,CUL6,-
22289,ANTH 390,01 ,Anthropology of Memory Communities,ANTH 390 Anthropology of Memory Communities,3,L,CLAS ,TR,11:00-12:20  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Smith, G  ",-,25 ,4 ,21 ,-,-,0,-,Open ,-,-
22126,ANTH 408,01 ,Senior Seminar B,ANTH 408 Senior Seminar B,3,L,CLAS ,TR,09:30-10:50  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Overmyer-Velazquez, R  ",-,10 ,4 ,6 ,11 ,11 ,-,-,XL-Closed ,COM4,IN 
21276,APA 007,01 ,Self Defense for Women,APA 007 Self Defense for Women,1,P,CLAS ,TR,15:00-15:50  ,-,Full Term,01/11/2023-04/23/2023 ,"Camacho, D  ",-,25 ,14 ,11 ,-,-,0,-,Open ,-,-
21277,APA 010,01 ,Weight Training,APA 010 Weight Training,1,P,CLAS ,TR,09:30-10:20  ,-,Full Term,01/11/2023-04/23/2023 ,"Heal, M  ",-,16 ,16 ,0 ,-,-,1,-,Closed ,-,-
21279,APA 020,01 ,Pickleball,APA 020 Pickleball,1,P,CLAS ,MW,10:00-10:50  ,-,Full Term,01/11/2023-04/23/2023 ,"Madrigal, A  ",-,24 ,24 ,0 ,-,-,-,-,Closed ,-,-
20579,ART 101,01 ,Introduction to Art 3-D,ART 101 Introduction to Art 3-D,3,L,CLAS ,TR,09:30-12:20  ,WG 100N ,Full Term,01/11/2023-04/24/2023 ,"Sloan, D  ",90,19 ,18 ,1 ,-,-,-,-,Open ,COM3,-
22331,ART 104,1 ,"Game Art I: 3-D Modeling for Animation, Game Design, and Motion Graphics","ART 104 Game Art I: 3-D Modeling for Animation, Game Design, and Motion Graphics",3,L,CLAS ,MW,13:30-16:20  ,LIB G004 ,Full Term,01/11/2023-04/24/2023 ,"Jauregui, D  ",100,18 ,18 ,0 ,-,-,0,-,Closed ,COM3,-
22332,ART 120,1 ,Graphic Design I: Digital Software Literacy,ART 120 Graphic Design I: Digital Software Literacy,3,L,CLAS ,TR,09:30-12:20  ,LIB G004 ,Full Term,01/11/2023-04/24/2023 ,"Herrick, J  ",100,18 ,13 ,5 ,-,-,0,-,Open ,-,-
22334,ART 190,02 ,"Whatcha Mean, What's a Zine?","ART 190 Whatcha Mean, What's a Zine?",3,L,CLAS ,R,18:00-20:50  ,WG 100W ,Full Term,01/11/2023-04/24/2023 ,"Albert, B  ",75,18 ,17 ,1 ,-,-,-,-,Open ,COM3,-
22052,ART 200,01 ,Digital Photography I,ART 200 Digital Photography I,3,L,CLAS ,MW,10:00-12:50  ,WG 011 ,Full Term,01/11/2023-04/24/2023 ,"Riboli, L  ",100,15 ,14 ,1 ,-,-,0,-,Open ,COM3,-
22501,ART 201,1 ,Animation I,ART 201 Animation I,3,L,CLAS ,TR,13:30-16:20  ,LIB G004 ,Full Term,01/11/2023-04/24/2023 ,"Caterini, D  ",100,18 ,16 ,2 ,-,-,0,-,Open ,COM3,-
22335,ART 206,1 ,Western Art: 15th through 20th Centuries,ART 206 Western Art: 15th through 20th Centuries,3,L,CLAS ,MW,12:00-13:20  ,HV 205 ,Full Term,01/11/2023-04/23/2023 ,"Radisich, P  ",-,19 ,18 ,1 ,-,-,0,-,Open ,CUL5,-
21640,ART 208,01 ,Intro to Visual Culture/Media,ART 208 Intro to Visual Culture/Media,3,L,CLAS ,TR,11:00-12:20  ,HV 205 ,Full Term,01/11/2023-04/24/2023 ,"Albers, K  ",-,25 ,25 ,0 ,-,-,0,-,Closed ,CUL4,-
20010,ART 210,02 ,Drawing I,ART 210 Drawing I,3,L,CLAS ,MW,18:00-20:50  ,WG 201 ,Full Term,01/11/2023-04/24/2023 ,"Patrick, I  ",50,18 ,18 ,0 ,-,-,0,-,Closed ,COM3,-
20011,ART 210,01 ,Drawing I,ART 210 Drawing I,3,L,CLAS ,MW,13:30-16:20  ,WG 201 ,Full Term,01/11/2023-04/24/2023 ,"Huey, E  ",50,18 ,18 ,0 ,-,-,0,-,Closed ,COM3,-
22514,ART 212,1 ,"Gender Studies in Photography, Art, and Visual Culture","ART 212 Gender Studies in Photography, Art, and Visual Culture",3,L,CLAS ,TR,13:30-14:50  ,HV 202 ,Full Term,01/11/2023-04/24/2023 ,"Albers, K  ",-,16 ,16 ,0 ,-,-,-,-,Closed ,CUL4,-
22336,ART 222,1 ,Painting I,ART 222 Painting I,3,L,CLAS ,MW,10:00-12:50  ,WG 201 ,Full Term,01/11/2023-04/24/2023 ,"Herrick, J  ",85,17 ,17 ,0 ,-,-,0,-,Closed ,COM3,-
22337,ART 232,01 ,Ceramics I,ART 232 Ceramics I,3,L,CLAS ,MW,10:00-12:50  ,WG 100S ,Full Term,01/11/2023-04/24/2023 ,"Sloan, D  ",75,20 ,18 ,2 ,18 ,20 ,0,-,XL-Closed ,COM3,-
20580,ART 252,01 ,Sculpture I,ART 252 Sculpture I,3,L,CLAS ,TR,13:30-16:20  ,WG 100N ,Full Term,01/11/2023-04/24/2023 ,"Sloan, D  ",90,18 ,13 ,5 ,18 ,19 ,0,-,XL-Closed ,COM3,-
22471,ART 306,1 ,Introduction to Web Design,ART 306 Introduction to Web Design,3,L,CLAS ,MW,10:00-12:50  ,LIB G004 ,Full Term,01/11/2023-04/24/2023 ,"Caterini, D  ",100,18 ,14 ,4 ,-,-,0,-,Open ,COM3,-
