Year,Course,Grade,value
2019,EDUC 606 Eductnl Inqry Practicum,A,1
2019,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 606 Eductnl Inqry Practicum,B-,1
2021,EDUC 605 Introduction Education Inquiry,B-,1
2021,PSYC 354 Diverse Identities,A,1
2020,BSAD 350 International Business,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A-,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 504 Scnd Lang Acquisition Methdlgy,A,1
2021,EDUC 508 SS Curric & Pedagogy I,A-,1
2019,EDUC 500 Soc/Anthr Perspective on Educ,A-,1
2019,EDUC 506 Learning and Learners,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 533 CreatPost ClassrmMang&BhvrSys,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,ENGL 308 Screenwriting: The TV Pilot,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 508 SS Curric & Pedagogy I,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A-,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2017,REL 200 Exploring Religion,C+,1
2021,MUS 102 History of Jazz,B,1
2021,MUS 074 Music of Latin America,B+,1
2021,INTD 219 AIDS,C-,1
2021,PSYC 354 Diverse Identities,B,1
2021,CHDV 210 Early Childhood Education,B,1
2021,EDUC 300 Soc & Hist Perspctvs on Educ,D,1
2021,ENVS 200 Biological Anthropology,B-,1
2021,REL 361 Ways of Understanding Religion,B,1
2021,HIST 351 Cuban Revolution,B+,1
2021,PSYC 362 Psychology of Personality,C+,1
2021,PSYC 334 Psychology of Learning,C,1
2021,PSYC 415 Literature Review Seminar,C-,1
2021,PSYC 499 Senior Presentation,A-,1
2016,PSYC 224 Language and the Brain,B,1
2017,PSYC 214L Statistics - SPSS,B,1
2018,BSAD 130 Business and Society,B,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2018,EDUC 506 Learning and Learners,A-,1
2021,EDUC 530 Found in Special Education,A,1
2021,EDUC 533 CreatPost ClassrmMang&BhvrSys,A,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2019,EDUC 606 Eductnl Inqry Practicum,A,1
2019,EDUC 605 Introduction Education Inquiry,A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2019,EDUC 606 Eductnl Inqry Practicum,A-,1
2019,EDUC 605 Introduction Education Inquiry,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A-,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 504 Scnd Lang Acquisition Methdlgy,A,1
2021,EDUC 509 SS Curr & Ped II:,B+,1
2018,EDUC 606 Eductnl Inqry Practicum,A-,1
2018,EDUC 605 Introduction Education Inquiry,A,1
2021,MATH 481 Modern Algebra II,A,1
2021,MUS 077 Approachable Opera,A,1
2021,MATH 345A Differential Equations I,A,1
2021,MATH 491 Senior Seminar I in MATH,A-,1
2021,COSC 390 Microcontrollers,A,1
2021,MATH 491 Senior Seminar II in MATH,A-,1
2021,MATH 480 Modern Algebra I,A-,1
2018,HIST 220 East Asian Civilizations,A,1
2021,PHYS 250 Computational Osclltns & Waves,A-,1
2021,PHYS 150 Calculus-Based Phys I (Mech),A,1
2021,PHYS 180 Calculus-Based Phys II (EMT),A-,1
2021,PHYS 350 Quantum Mechanics,B+,1
2021,PHYS 275 Modern Physics,A-,1
2021,PHYS 360 Astrophysics,A-,1
2021,MATH 280 Abstract Thinking,A,1
2021,INTD 265 Nanotechnology and Society,A,1
2021,INTD 290 Selected Topics in INTD,A-,1
2021,HIST 230 Intro. to African History,A,1
